Cosmogrand Zenith,9,"Double spelling in a turn isn’t too easy to do, but Cosmogrand Zenith rewards you well for doing so. You might be familiar with Cori-Steel Cutter, and this looks uncannily similar. It also pairs really nicely with warp cards, as their cheaper costs help you to trigger it more often. Overall, while this soldier requires some amount of support to get going, most decks should be capable of doing that, so this is just a very strong card."
Dawnstrike Vanguard,2,"I certainly see this being quite powerful on some boards, but it’s such a big investment. Six mana is a lot, and a 4/5 with lifelink is a really lackluster return on that investment. You need to get a bunch of counters out of Dawnstrike Vanguard for it to be worth playing at all, but that’s definitely not a guarantee by the time you get up to 6 mana."
Dockworker Drone,4,"Dockworker Drone ticks a lot of boxes. It’s a 2-drop, it does +1/+1 counter stuff, it’s an artifact creature, and it’s a 2/2 that leaves a counter behind when it dies. Yep, that’s all pretty good for a common 2-drop. No notes."
Dual-Sun Adepts,5,"The ability to buff your team by +1/+1 at instant speed is very potent. As long as you have access to 5 mana, the mere threat of activation makes it very annoying for your opponent to get into combat with your creatures, especially when Dual-Sun Adepts also has double strike. Even by itself, a 2/2 double striker for 3 mana is a good rate on return, so any deck can play this. The wider your board goes, the better this becomes."
Dual-Sun Technique,3,"Combat tricks that draw a card often equate to easy two-for-one plays. The issue is that simply giving a creature double strike in no way guarantees that it can survive the combat. Dual-Sun Technique has high potential, but it needs quite a bit of setup to get there. Some decks will be able to do that, but many others won’t."
Emergency Eject,3,"Stroke of Midnight isn’t a very good card. While it might seem that giving an opponent a Lander token instead of a 1/1 is better for you, that won’t always be the case. Like with Path to Exile, your plans will surely backfire if you cast Emergency Eject too early in the game, since you help your opponent both to accelerate and to fix their colors."
Exalted Sunborn,8,"The ability to double token generation is powerful, but it might not end up all that useful when you draw Exalted Sunborn. As such, it’s good that you get to fall back on this as a 5-mana, 4-power flier with lifelink. The warp ability just gives you a little extra bit of functionality, so you can cast it alongside some other token-creating spell for a bit of value."
Exosuit Savior,3,"Why would you want to use Exosuit Savior to return a permanent you control to your hand? Because it has some kind of ability that triggers when it enters. Straightforward, but not a priority."
Flight-Deck Coordinator,2,"Three mana for a 3/3 really needs a bit more to be worth playing, and sometimes a measly 2 life gained isn’t quite good enough to sell me on it. Flight-Deck Coordinator is certainly playable, but not something you’ll ever go out of your way to pick up."
Focus Fire,4,"Removal that only targets attacking or blocking creatures tends to fall a little short of the mark, but costing 1 mana and dealing at least 2 damage in a vacuum makes Focus Fire more than efficient enough. This works best in more controlling white decks, and the more aggressive ones will probably pass on it."
"Haliya, Guided by Light",6,"Haliya, Guided by Light is a nice little build-around. What stands out the most here is the warp cost, which allows you to cast it alongside something that gives you two creatures/artifacts in one go, at which point you’ve basically gained 3 life and drawn a card for just 1 mana. From there, triggering this at least one more time once you’ve cast Haliya for full price shouldn’t be too hard because just an extra card or two makes this well worth casting."
Hardlight Containment,6,"While Hardlight Containment requires a bit of support to make it work, the ability to exile any creature for just 1 mana is extremely desirable. Just be wary of enchanting an artifact that’s likely to die, like a creature."
Honor,5,"Back in Strixhaven, Guiding Voice ended up as one of white’s best commons and one of the only reasons not to draft a blue deck. While drawing a card is substantially worse than learning, Honor is still quite strong for what it is. The +1/+1 counter deck is going to absolutely love this, but I’d also play it in any white deck."
Honored Knight-Captain,3,"Two mana for two 1/1s is a pretty good deal on its own. I doubt you’ll get to use the 6-mana mode very often, but Honored Knight-Captain is a good enough 2-drop without it."
Knight Luminary,4,"I didn’t like this much at first, but it’s growing on me. A 3/2 plus a 1/1 for 4 mana is fine, though usually you get a little more than that, like flying on one of them. The warp ability is cool, but all you get out of it is a 1/1, which often isn’t going to be worth the mana investment. However, Knight Luminary looks like it’s especially good in red/white, as it’s two bodies in one even when you warp it. You can use both bodies to station a spacecraft, and then all your “control two tapped creatures” abilities are online. I’m sure this’ll be good. White’s archetypes in Edge of Eternities all look like they can make use of this in some way or another."
Lightstall Inquisitor,3,"Lightstall Inquisitor is like a fly buzzing around your head for about 30 seconds. Sure, it’s annoying, but it doesn’t exactly ruin your day. The ability is simply an inconvenience that sometimes won’t even do anything. Still, it’s always good in an aggressive deck as a 1-mana 2/1 with vigilance, but it’s not all that exciting."
Lumen-Class Frigate,6,"Two mana for a Glorious Anthem is a pretty good deal, and you probably only need to station Lumen-Class Frigate once for it to be exactly that. Getting up to 12 charge counters sounds like a pipe dream, but it’s bound to happen on a board stall."
Luxknight Breacher,1,"I really dislike this. How many creatures do you need to make Luxknight Breacher worth it? I’d say at least three or four, which absolutely isn’t a trivial thing to accomplish. Having this in your hand without enough creatures in play sounds absolutely miserable, so I wouldn’t bother running this at all."
Pinnacle Starcage,1,"Hitting everything with mana value 2 or less is extremely restrictive. In your average game, Pinnacle Starcage just isn’t going to hit a lot of permanents, but every now and then you’ll come against a deck that inundates you with valid permanents to exile. This looks like a great sideboard card and nothing more. It’s also a great substitute for Temporary Lockdown now that it’s rotating out of Standard."
Pulsar Squadron Ace,4,"You probably won’t be able to get enough spacecraft to make this a reliable two-for-one, but the ability to fall back on a 2/3 for 2 mana isn’t the worst. I’d absolutely play Pulsar Squadron Ace in any deck with just a couple of potential hits, though I'm not pinning my hopes on it actually hitting something all the time."
Radiant Strike,2,"Radiant Strike can kill a lot of things and the lifegain is a nice touch, but a MV of 4 is far too much. This is essentially a white version of the 5-mana red removal spells we see every set. You’re usually happy with one copy, but it’s never a high priority to pick up. White has better common removal in Edge of Eternities, so you won’t ever need to take this highly."
Rayblade Trooper,5,"A 3/3’s worth of stats for 3 mana is a good base rate. It’s going to be great to have Rayblade Trooper in a deck that cares about those +1/+1 counters. Your opponent is going to have to prioritize fighting over your bigger creatures while this sits back and generates you tokens. Alternatively, you can put the counter on this soldier to make it a 3/3 that dies into a 1/1, and that’s also good to have. Either way, this is a strong card that most white decks should be happy to play."
Reroute Systems,3,"A 1-mana spell that deals 2 damage to a tapped creature is fine, but a bit meh. One mana to give indestructible to something is also just a bit meh. It works often enough, but it doesn’t protect against bounce or exile. Both modes of Reroute Systems are a bit weak, but a charm with the option of one or the other gives you a good amount of flexibility that probably makes this a good, playable card."
Rescue Skiff,1,"When I put a 6-drop anything into my deck, I want to know that it does something when I cast it. You don’t have that guarantee with Rescue Skiff. Not only might you not have any target in your graveyard at all, but if you happen to have one, it might not be worth reanimating for 6 mana. This spacecraft is quite large if you can station it, but getting to 10 charge counters sounds like far too much to be worth going for."
Scout for Survivors,4,"If all you can do is reanimate one creature with a +1/+1 counter, Scout for Survivors likely isn’t worth running. Once you have a few 1-drops to enable this and get back two or even three creatures, you might be on to something. I’d want to have those in my deck first, because trading them off early and then playing this for a big tempo swing sounds pretty incredible."
Seam Rip,5,"While Seam Rip can only answer a small handful of targets, it’s a good, clean answer to those targets. It’s particularly effective against tokens, since they’ll never come back. We saw this exact card a while back in the form of Portable Hole, and I assume this’ll be just as good this time around."
The Seriema,6,"This will be a big test for the station mechanic overall. The question is simply whether you’d run The Seriema in your deck with no legendary creatures to search for. Three mana for a 5/5 flier is of course very strong, but it sounds like a little too much work to station it with seven charge counters. I’m only interested in playing this with a good target or two to search for. But if it’s easier to station a spacecraft than I think, I could easily play this with no targets thanks to its efficiency."
Squire’s Lightblade,1,"Did you ever play Coral Sword in Final Fantasy? I know I didn’t. Not only that, but Squire's Lightblade is even worse, as it has a higher equip cost. Kindled Fury is a combat trick that has seen moderate levels of play whenever it shows up, but it’s getting worse as the years go on and is now far too narrow. I just don’t see this new variant as remotely playable."
Starfield Shepherd,6,"I talk a lot about the need to find opportunities for two-for-ones, so you know I’m going to be interested in a three-for-one! Starfield Shepherd guarantees you multiple land drops and a bunch of card advantage, which is very valuable, especially in the early game."
Starfighter Pilot,3,"Starfighter Pilot is a nice, solid 2-drop that gives you some very real advantage. It gets outclassed fairly quickly, but you’ll still be able to trigger it as the game progresses by using it to station your spacecraft."
Starport Security,3,"Four mana to tap a creature is laughably weak, but 2 mana is a lot closer to being realistic. I’d want to be in the +1/+1 counters deck before I’d want Starport Security, but the fact that it’s also a 1-drop means it’ll probably be quite desirable in that deck."
Sunstar Chaplain,7,"Whether you attack or station something, having two tapped creatures around on your end step feels nearly free. Sunstar Chaplain is also just a nice, aggressive creature regardless of whether you’re using its ability or not. The kicker here is the ability to tap several creatures in one turn; with enough counters available to you, you’ll be able to tap down an entire team of blockers before your final attack. That’s very dangerous potential to have on your side, and I’d expect this to shine particularly in any +1/+1 counter focused deck."
Sunstar Expansionist,5,"It’s not going to be worth skipping your land drop for a turn just to enable Sunstar Expansionist, which means it’s going to be a lot stronger when going second than when going first. What’s good is that this cleric is essentially a 3/3 for 2 mana, so it’s big enough on its own that you’re happy to play it no matter what. It just happens to be a lot stronger when you go second."
Sunstar Lightsmith,6,"I’m preconditioned not to like Hill Giants at all. However, Sunstar Lightsmith’s ability is extremely good. Drawing a card is always going to be among the best possible payoffs for a Draft archetype, and even though this is a tad too expensive, it should be well worth it in your double spell deck."
Wedgelight Rammer,2,"Wedgelight Rammer looks awful to me. Getting to nine charge counters sounds like far too much to be able to do reliably. It makes me think that I must be missing some kind of trick here, because I trust that WotC have designed these cards somewhat competently. I’ll try it out at first and see if I’m wrong, but I just don’t like this design at all."
Weftblade Enhancer,1,"Six-drops need to be particularly good to see any play, and Weftblade Enhancer looks far too weak for that. Without warping it, it’s a 5/6‘s worth of stats for 6 mana, which is awful. If you warp it, you get two extra +1/+1 counters, but it costs you another 3 mana to do so. This just looks massively over-costed with nowhere near enough payoff for it."
Zealous Display,2,"Trumpet Blast has been playable at times, and white does have a go-wide archetype to benefit from Zealous Display. You won’t want multiple copies, but the first is probably fine, assuming you’re aggressive enough to want it."
Annul,3,"Edge of Eternities has a fairly heavy artifact theme, so you’re bound to find a use for at least the first copy of Annul. If you’re lucky enough to get multiple copies, I’d probably only start one. The rest can be great sideboard cards, but that sentiment is likely to change as the format evolves."
Atomic Microsizer,3,"I’m not quite getting the design here. Is there an inherent advantage to making one of your creatures a 1/1 that can’t be blocked? I think the “can’t be blocked” clause is something that a lot of players will overrate, but hitting for 1 damage, or 2 if you equip the creature with Atomic Microsizer, isn’t particularly consequential. You can shrink an opponent's creature instead, but that's not affecting the grade much. This is still a 1-drop artifact, which is probably relevant for the format, but I want a little bit more out of the effect like the ability to use it with some sort of combat damage trigger."
Cerebral Download,3,"Controlling an artifact sounds extremely easy to accomplish, so let’s just look at this as always being a vanilla 2/4 flier. That’s honestly not bad. After all, Wind Drake has been a very playable card in the past. Yeah, I can see playing Cloudsculpt Technician in any deck with an abundance of artifacts."
Cloudsculpt Technician,3,"Controlling an artifact sounds extremely easy to accomplish, so let’s just look at this as always being a vanilla 2/4 flier. That’s honestly not bad. After all, Wind Drake has been a very playable card in the past. Yeah, I can see playing Cloudsculpt Technician in any deck with an abundance of artifacts."
Codecracker Hound,7,"Who else remembers Sibsig Appraiser? Or Organ Hoarder? These blue creatures are always excellent as they’re just the simplest way to get a good two-for-one advantage. Warp pushes Codecracker Hound way over the top because it allows you to get a whole extra card out of the deal if you have the time to spend on doing so. I’d be very surprised if this weren’t one of blue’s best cards in Edge of Eternities, and I will be taking it very highly in Draft."
Consult the Star Charts,5,"Consult the Star Charts is really mediocre at 2 mana, but at 4 mana it’s basically an instant speed Stock Up. That’s pretty good and a draw spell I’d be very happy to run."
Cryogen Relic,4,"Ichor Wellspring was one of my favorite cards from back in the day, so I’m really excited to see this here. It shouldn’t be too hard to get your full value out of Cryogen Relic, ideally by sacrificing it for some kind of other ability, but having its own buyout option is a nice backup plan for that. Quick reminder that the activated ability doesn't tap anything down, it just stuns a creature that's already tapped."
Cryoshatter,5,"This is some pretty good removal for blue. Unlike similar cards from the past like Sensory Deprivation, the enchanted creature can only block once before it takes damage and is destroyed. I really like Cryoshatter. It’s cheap, efficient, and very effective. It’s also really cool flavor-wise, as you can imagine the idea is that the creature has been frozen and you’ve then shattered it."
Desculpting Blast,4,"I’m always a fan of bounce spells with no particular targeting restrictions. Their flexibility gives you so much agency over playing them that there are all sorts of good plays you can make. Since Desculpting Blast rewards you more for bouncing an attacking creature, the best play you could make is to block an attacking creature and then bounce it in response to a combat trick or something similar."
Divert Disaster,3,"Quench is a fine card in Limited these days. Getting a rebate of a Lander token if they can pay for it isn’t relevant at all, because by the time they can pay for their spell, you’re not going to need more lands. Whatever, Divert Disaster is a fine 2-mana counterspell, and I’m sure it’ll be reasonable to play."
Emissary Escort,4,"It’s not hard to imagine Emissary Escort simply being a 4/4 or bigger from the midgame onwards. That’s decent, but ultimately it’s just a big, cheap vanilla creature and nothing more. Unless you’re high rolling with some big warped artifact on turn 3 (like Bygone Colossus), this should only be a little above average."
Gigastorm Titan,4,"This is pretty cool. You obviously never want to cast Gigastorm Titan for full price; it really ought to cost 2 mana. The double spell deck needs plenty of options for cheap spells to enable their cards, and this does do that. This is also just a good tempo play in any deck that runs cheap spells that can enable it. This elemental is still just a cheap vanilla creature at the end of the day, so it’s not broken or anything, but it does look like a good playable."
Illvoi Galeblade,4,"I love cheap flash fliers like this. You can get a little bit of damage in if you play Illvoi Galeblade early or happen to play it on a board with no fliers. Later in the game, you can just block a big creature and sacrifice this to draw a card. This is great, and a nice common to see."
Illvoi Infiltrator,4,"We’ve seen this exact design a couple of times in the past, like with Nimble Brigand or Gateway Sneak, and it’s usually quite good. Double spelling in a turn is considerably harder to do than committing a crime or playing a gate was, but Illvoi Infiltrator is worth playing even if you only get one card off of it."
Illvoi Light Jammer,3,"Countering a removal spell for 2 mana has played out pretty well in the past, and you can also use Illvoi Light Jammer as a combat trick if needed. The fact that this leaves behind an equipment to buff your other creatures too means I’d be pretty happy to play this in most decks."
Illvoi Operative,2,"Illvoi Operative is a pretty weak payoff for the double spell deck, but it isn’t completely embarrassing to run if you have to. At least it’s a 2-drop, so it’s easy to fit into your curve and also cheap enough to enable the archetype."
Lost in Space,4,"Ice Magic, Riverwalk Technique, Trip Up, and many others. The 4-mana instant that lets you put a creature to the top or bottom of the deck is a tried and tested formula at this point that we know should be good. Lost in Space is just one of the better and most flexible ways that blue has to deal with creatures in Edge of Eternities."
Mechan Assembler,5,"I don’t like that this is just a vanilla 4/4 the turn you play it, but if it survives you’ll be able to get quite a lot of free advantage over the next few turns. Mechan Assembler reminds me a lot of Saruman the White, which looked really weak at first but ended up being a very strong build-around in the Lord of the Rings format."
Mechan Navigator,3,"I love the 3/3 defenders for 2 mana that we usually see, but having just 2 toughness makes Mechan Shieldmate quite a bit worse. However, it attacks a lot more freely than other variants of this effect. This reminds me the most of Shipwreck Sentry from The Lost Caverns of Ixalan, which often felt more like a 2-mana 3/3 vanilla in the right deck and was very good in the set. I assume this will also be quite strong, especially in the blue/red aggro decks."
Mechan Shieldmate,3,"I love the 3/3 defenders for 2 mana that we usually see, but having just 2 toughness makes Mechan Shieldmate quite a bit worse. However, it attacks a lot more freely than other variants of this effect. This reminds me the most of Shipwreck Sentry from The Lost Caverns of Ixalan, which often felt more like a 2-mana 3/3 vanilla in the right deck and was very good in the set. I assume this will also be quite strong, especially in the blue/red aggro decks."
Mechanozoa,3,"We just saw Ice Flan do a decent amount of work in Final Fantasy, and this is bound to be similar. Mechanozoa may not be able to islandcycle, but getting to cheekily tap down a creature for 3 mana while possibly stationing a spacecraft is a nice bonus on an otherwise decent 6-drop."
Mental Modulation,3,"Pressure Point is kind of mediocre whenever we see it, but it’s still the kind of card you don’t mind to play in a pinch. The cost reduction here is a big upgrade though, because now you have a 1-mana cantrip on your turn that sounds really good for enabling the double spell archetype. I’d absolutely play as many copies of Mental Modulation as I could find in that deck, and it’s a defensible pick for other decks too."
"Mm’menon, the Right Hand",7,"We’re probably going to have to get used to pronouncing this name, because Mm'menon, the Right Hand is a great bomb rare for any artifact-based deck. The ability to cast artifacts from the top of your library essentially equates to free cards drawn. This is a big card advantage engine assuming you have enough artifacts, but even casting just one or two for free is enough to make this worthwhile."
Moonlit Meditation,0,"Spending a whole card to upgrade some of your tokens isn’t all that exciting. It requires too much setup. You need lots of token creators and something worth upgrading them into. On top of that, your opponent can just blow you out by killing the enchanted permanent. Players are already talking about Moonlit Meditation for combo potential in Constructed formats, but it just doesn’t work in Limited."
Mouth of the Storm,4,"Bewildering Blizzard this is not. Mouth of the Storm should have a big impact on the board when you play it, but often the sizes of your creatures just won’t be able to line up in such a way to fully utilize the effect. Ultimately, I think it’ll fall short of being impressive a little too often, but it’s still an okay finisher."
Nanoform Sentinel,2,"This is an interesting card. On the face of it, Nanoform Sentinel doesn’t look very good, but the context of being able to station a spacecraft and then untap something else that can station it sounds like it might have some legs. I don’t think that’s good enough, but I could definitely be proven wrong by the right deck."
Quantum Riddler,9,"Oh hi, Mulldrifter, how’ve you been? While Quantum Riddler usually draws you just one card instead of two, Mulldrifter didn’t let you cast it a second time from exile after you evoked it. It also wasn’t a 4/6. My apologies, I love Mulldrifter and I’m not looking to disrespect it, but this new version looks like it might be even better. It certainly should be in Limited."
Scour for Scrap,3,"Typically, searching for a specific card from your deck isn’t playable in Limited. We wouldn’t choose to play Fabricate if we could help it. However, the ability to choose both modes of Scour for Scrap makes this a 4-mana draw two, which is definitely within the range of playability. On top of that, it draws you good cards. I quite like this, though I don’t think I’d ever run more than one copy."
Selfcraft Mechan,3,"There are a few nice things that you can easily sacrifice to enable Selfcraft Mechan, like a Nutrient Block or Cryogen Relic. If you have some of those, this looks quite good, but you need to have that support in place because a vanilla 3/4 for 4 is nowhere near good enough."
Sinister Cryologist,1,-3/-0 for one turn at sorcery speed is incredibly weak. You might be able to make an attack look more appealing but that’s about it. Sinister Cryologist isn’t something I’d ever look to play.
Specimen Freighter,6,"Even for 6 mana, bouncing two creatures in one go is a very powerful tempo swing. While it requires stationing, Specimen Freighter has the potential essentially to be a Marang River Regent, just with a couple of extra steps. If those steps are worth doing, this could be an extremely powerful card in Edge of Eternities Limited."
Starbreach Whale,3,3/5 is quite big for a common 5-drop flier. You even get to surveil 2 for good measure and get a free surveil for 2 mana earlier in the game if you have the spare mana to warp your Starbreach Whale. Not a bad little deal all things considered.
Starfield Vocalist,3,"It shouldn’t be too difficult to finding some good enters the battlefield abilities to work with Starfield Vocalist. My only issue is that this isn’t worth playing unless you have enough of those to reliably believe that you’re going to draw them together. The fact that this is well below par without anything to go along with it means that it really needs a lot of support to be worth playing. It should be good enough if you find enough abilities for it, though."
Starwinder,8,"Don’t these effects normally come with restrictions? “Do this only once each turn”? “Whenever one or more”? No, Starwinder comes at you completely unimpeded, and you can draw all the cards! If you have an attack lined up with a trample or evasive creature, casting this for 4 mana might just be a Concentrate or better. You could also cast this for its warp cost, station a spacecraft, and immediately attack with it to draw a bunch of cards for your trouble. Not to mention that in each of these scenarios, you also get to cast this for 7 mana later on. This is very powerful, and I look forward to drafting it."
Steelswarm Operator,5,"I always like blue’s random archetype-specific mana dorks and this is no exception. On the whole, Steelswarm Operator looks a bit worse than something like Oaken Siren, but I’m not going to complain about the ability to cast 4-mana artifacts on turn 3."
Synthesizer Labship,6,"This is a really interesting card. Your typical Claustrophobia variant always suffers from the downside of leaving your opponent with their creature on the battlefield so they can still use its abilities or find some way of getting rid of the aura. This version, for just 1 extra mana, allows you to make use of that creature’s abilities instead. While I’m not sure how often that’s going to come up, Tractor Beam is still quite a bit better than your usual blue removal and likely a very strong card in EOE Limited."
Tractor Beam,6,"This is a really interesting card. Your typical Claustrophobia variant always suffers from the downside of leaving your opponent with their creature on the battlefield so they can still use its abilities or find some way of getting rid of the aura. This version, for just 1 extra mana, allows you to make use of that creature’s abilities instead. While I’m not sure how often that’s going to come up, Tractor Beam is still quite a bit better than your usual blue removal and likely a very strong card in EOE Limited."
Unravel,2,"This isn’t much more than just a typical Cancel. The ability to draw a card sometimes is a very good upside, but it only really works if you counter a warped spell. For all the times that’ll come up, there are a few more times when it won’t. If you didn’t want a 3-mana counterspell in the first place, you won’t want Unravel. Edge of Eternities Limited needs to be slow for this to be worth running at all, and only time will tell if that’s the case."
Uthros Psionicist,4,"Cost reductions aren’t usually that enticing, but a 2-mana discount could very well be. The double spell deck could certainly utilize Uthros Psionicist’s cost reduction and make it a lot easier to trigger its cards. I don’t see any other deck caring about this, but that’s exactly what a good build-around is for anyway."
Uthros Scanship,4,"This looks remarkably similar to Sidequest: Card Collection from Final Fantasy. While that card looked quite weak at first, it ended up being very solid in a lot of blue decks. Uthros Scanship isn’t nearly as good but it ticks a lot of the same boxes, so I’m sure it’ll find a home."
Weftwalking,6,"Okay, this is a weird one. Have we ever had a one-sided Timetwister before? Probably, but I don’t remember one. Since Weftwalking isn’t symmetrical like these cards usually are, this is effectively just a 6-mana draw seven. You then have this enchantment that lets your opponent cast a free spell each turn sitting around, which is probably not the worst thing for you given that they probably have access to very few cards at this point in the game. Overall, the downside isn’t too bad for you and the upsides more than make up for it."
"Alpharael, Stonechosen",3,"Alpharael’s mythic version looks really nasty at first. An annoying life loss trigger for your opponent plus a heavily punishing ward cost should add up to a really powerful card. Emphasis there on “should”. Alpharael, Stonechosen is also a 3/3 for 5 mana with no evasion that has to attack and have void enabled to actually do anything. While it doesn’t look unplayable to me, I think it falls well short of where you want to be."
Archenemy’s Charm,6,"All three modes here are excellent and are good at different points of the game. It’s just casting it that’s the problem. I’d still go for Archenemy's Charm and try to skew my mana base towards black if I did, but you still have to be aware that this is most likely to be live from about turn 6 or 7 onwards."
Beamsaw Prospector,3,"We’ve had creatures in the past like Dire Fleet Hoarder and Undercity Dire Rat that create a Treasure when they die, and they’ve always been fine. I think getting a Lander token may actually be better than that, so I can definitely see playing Beamsaw Prospector, especially in the sacrifice deck."
Blade of the Swarm,1,"Okay, this is a cute effect to have but it’s far too narrow. I don’t want to play a 5/3 for 4 mana, so Blade of the Swarm really hinges on the ability to snipe a warped card from exile. I think this is a sideboard card more than anything, and I wouldn’t want to start it in the main deck until proven otherwise."
Chorale of the Void,1,"There are so many downsides with Chorale of the Void. Where should I begin? Firstly, auras often suck because they open you up to getting blown out by a removal spell. This only reanimates creatures from your opponent’s graveyard, so you can’t even set it up like you can when you reanimate from your own graveyard. It’s highly situational, and there’s very little you can do to change that? I’m not buying it."
Comet Crawler,3,"Attacking as a 4/3 lifelink is actually very strong. Lifelink is among the most important abilities in Limited because it’s so effective at winning damage races for you. You do need to support Comet Crawler, but it’s probably a decent card if you can do so."
Dark Endurance,1,"Tricks like Dark Endurance are always mediocre. Sure, they can obviously work and kill something else in combat, but they’re just too situational most of the time."
Decode Transmissions,4,"While the void ability is a nice bonus, I look at Decode Transmissions as a simple Divination that’ll lose me some life. That’s still really good, and I’m happy to fire it off for that whenever I need to."
Depressurize,5,"This card is brilliant. Cheap, efficient, and full of flavor. Depressurize is likely to be black’s best common early on and definitely something to look out for in Draft. It’s notably worse than just -3/-3 because it’s less effective as a combat trick, but that shouldn’t be enough to hold it back."
Dubious Delicacy,7,"Removal plus a very tangible bonus is always very good. Being an artifact, you can get value when you sacrifice Dubious Delicacy, perhaps by returning it to your hand and reusing it, turning it into a creature, or all sorts of other things. It’s a tad on the expensive side, but this will still be premium removal in the set."
Elegy Acolyte,10,"I remember first reading this card when it was initially leaked. We’re in the middle of a heatwave in the UK, so it was the middle of the night (about 4 A.M.) and I couldn’t sleep, so I randomly checked my phone and saw Elegy Acolyte. I simply thought to myself, “Yep, that’s a 10 for the set review.” And yeah, here we are."
Embrace Oblivion,4,"Bone Splinters variants always perform well when there’s a good sacrifice deck for it to go into. Embrace Oblivion isn’t premium removal given how you have to enable it, but it’s a key piece of this particular archetype that you might have enough ways to enable in other black decks."
Entropic Battlecruiser,7,"The usual “assassin” design of a card that finishes off a damaged creature never ends up being very good. What we have here might be the best version we've ever seen, as Faller's Faithful also has the ability to trade one of your own creatures for two new cards. Back in the day, Fell Stinger was a phenomenal card and this might be even better."
Faller’s Faithful,7,"The usual “assassin” design of a card that finishes off a damaged creature never ends up being very good. What we have here might be the best version we've ever seen, as Faller's Faithful also has the ability to trade one of your own creatures for two new cards. Back in the day, Fell Stinger was a phenomenal card and this might be even better."
Fell Gravship,6,"I always love seeing Gravedigger-style effects. You immediately get a good card back from your graveyard and are left with a relevant permanent on the battlefield. Stationing Fell Gravship will take a while, but this does eventually become a very annoying creature, so it’s well worth doing. This is also remarkably similar to Carrion Cruiser, which was an excellent card in Aetherdrift."
Gravblade Heavy,1,"Four-drops that look this weak often don’t perform well. Deathtouch just gets less and less relevant on bigger creatures, so Gravblade Heavy is little better than a conditional vanilla creature."
Gravkill,4,"We’ve seen this time and time again and it’s always good. Four mana to cleanly exile any creature, and in this case any spacecraft. Gravkill is good, and you’ll be happy with any you can pick up. It just lacks a little bit of efficiency that cheaper removal tends to offer."
Gravpack Monoist,5,"A 2/1 flier that dies into a 2/2 sounds great to me. Even better, Gravpack Monoist only costs 3 mana, and I’d have thought it would cost 4. While the obvious play is to run this in a sacrifice deck, this is efficient enough that I’d be happy to play it in any black deck."
Hullcarver,3,"I say this in every set review, but a 1-mana creature with deathtouch is just good. I love to see them; they’re great defensive options and they’re relevant on nearly every board. Hullcarver is just very nice to see."
Hylderblade,4,"The idea of getting this to attach to your creatures for free is quite interesting. The downside is that it happens at the end of your turn. You can attack with a buffed creature and trade it off in combat, and Hylderblade will move to something else when you end the turn. I never want to manually attach this, so I think it’ll be mostly used in the sacrifice deck to enable it more easily."
